,people,product_page_number,aw,buy,val12,val15,effort
78,15,Page4 6,0.39441,0,1.26301,0.02748,0.31418
79,15,Page4 7,0.73759,0,2.18786,0.58503,0.77438
80,15,Page4 8,-0.28436,0,1.09261,-3.6186,-0.26186
81,15,Page4 9,0.17009,0,0.13419,0.4206,0.50453
82,15,Page4 10,0.50587,0,1.89132,2.37066,0.0718
83,15,Page4 11,0.04503,0,1.08913,1.00397,0.2238
84,15,Page4 12,0.29343,0,1.25586,1.67521,-0.329
85,15,Page4 13,0.14414,0,-0.19985,-0.07096,0.59382
86,15,Page4 14,0.17006,0,0.52553,-0.2428,0.14874
87,15,Page4 15,0.2162,0,0.60665,0.56289,0.20823
88,15,Page4 16,0.29263,1,0.46604,0.09206,0.28607
89,15,Page4 17,-0.38819,0,0.21456,-2.89754,0.11908
90,15,Page4 18,-0.23173,0,-0.00702,-1.23384,0.66
91,15,Page4 19,-0.50037,0,-0.13597,-0.48692,0.46147
92,15,Page4 20,-0.00317,0,0.6782,-0.82846,0.3468
93,15,Page4 21,0.57335,0,1.71905,-0.14468,0.54546
94,15,Page4 22,0.3064,0,0.99754,0.41808,0.20733
95,15,Page4 23,0.4601,0,0.64181,0.64285,0.15477
96,15,Page5 0,0.04967,0,-0.06637,0.39671,-0.01941
97,15,Page5 1,0.09204,0,0.56523,0.04235,0.07158
98,15,Page5 2,0.41118,0,1.18976,1.38053,0.21313
99,15,Page5 3,0.58355,0,0.42267,0.67119,0.42545
100,15,Page5 4,-0.01085,0,0.24976,-0.71427,0.7416
101,15,Page5 5,0.17655,1,0.87237,0.23802,0.25383
102,15,Page5 6,0.09495,1,0.52444,-0.79284,0.05049
103,15,Page5 7,0.40169,0,0.83381,0.29322,-0.00284
104,15,Page5 8,0.20282,1,0.43226,0.73239,0.18534
105,15,Page5 9,0.12437,0,1.11864,0.55508,-0.05033
106,15,Page5 10,-0.0531,0,1.03078,-0.418,0.38065
107,15,Page5 11,-0.37138,0,-0.37358,-0.43717,-0.18179
108,15,Page5 12,0.15765,0,0.45944,0.49577,0.0878
109,15,Page5 13,0.09136,1,0.17327,-0.13898,0.2134
110,15,Page5 14,0.06694,1,0.53608,-0.18505,-0.09602
111,15,Page5 15,0.10519,0,1.21716,-0.81289,0.16797
112,15,Page5 16,0.23859,0,0.46416,-0.71503,0.12251
113,15,Page5 17,0.19557,0,1.15502,0.56897,0.39276
114,15,Page5 18,0.08525,1,0.80465,0.82806,0.20253
115,15,Page5 19,-0.23589,0,0.52935,-2.34361,-0.2585
116,15,Page5 20,0.20153,0,1.21237,0.22472,-0.03125
117,15,Page5 21,0.75633,0,5.91862,2.09911,0.46391
118,15,Page5 22,0.14986,0,1.42981,-0.75614,-0.22753
119,15,Page5 23,-0.01096,1,0.23714,-0.45529,0.28202
120,15,Page6 0,0.58716,1,2.40396,0.44128,0.75425
121,15,Page6 1,0.13933,0,0.64049,-0.84157,0.01289
122,15,Page6 2,0.44149,0,1.24781,2.42402,-0.16738
123,15,Page6 3,0.0406,1,0.41494,-0.32343,0.14766
124,15,Page6 4,0.36903,0,0.85562,2.01215,0.31655
125,15,Page6 5,0.11256,0,0.41795,-0.24319,-0.05511
126,15,Page6 6,0.21504,1,0.68215,0.2729,-0.02888
127,15,Page6 7,-0.12386,0,0.28252,-1.20914,0.07468
128,15,Page6 8,0.12869,1,0.56046,0.82449,-0.21865
129,15,Page6 9,0.14276,1,0.44302,-0.30176,0.40328
130,15,Page6 10,0.43302,0,1.6698,0.82438,0.56895
131,15,Page6 11,-0.0204,0,0.53414,-1.18262,0.21149
132,15,Page6 12,-0.03564,0,0.44313,-0.39609,0.28228
133,15,Page6 13,0.17171,0,1.29303,0.89555,0.37232
134,15,Page6 14,-0.24176,0,0.42013,-2.14675,-0.17058
135,15,Page6 15,-0.01667,1,0.82856,-0.85841,0.12915
136,15,Page6 16,0.08574,1,0.30406,0.28468,-0.01466
137,15,Page6 17,0.61138,0,1.16105,3.50574,-0.0208
138,15,Page6 18,0.0842,0,0.31162,-0.4452,-0.3028
139,15,Page6 19,0.08245,0,0.70677,-0.20826,-0.29049
140,15,Page6 20,0.19108,0,0.67179,-0.06349,0.58168
141,15,Page6 21,0.84742,0,2.47935,3.7485,0.84899
142,15,Page6 22,0.44371,0,0.71098,-0.6612,0.06816
143,15,Page6 23,0.14096,1,0.54713,-0.44933,0.26492
0,16,Page1 0,-0.35213,0,0.00944,-0.90854,-0.03873
1,16,Page1 1,0.02421,0,0.87967,0.58441,-0.15137
2,16,Page1 2,0.01104,0,0.25039,-0.03071,-0.07134
3,16,Page1 3,-0.02352,0,0.16762,0.21786,0.14313
4,16,Page1 4,-0.27125,0,0.46472,-0.92852,-0.11157
5,16,Page1 5,0.11818,1,0.8024,2.28852,-0.04101
6,16,Page1 6,-0.09967,0,0.21509,-0.33139,-0.03372
7,16,Page1 7,-0.19899,1,0.50986,-1.54544,-0.05111
8,16,Page1 8,0.19874,0,1.10569,0.37502,-0.18499
9,16,Page1 9,0.36662,0,2.71896,3.19788,0.11823
10,16,Page1 10,0.20503,0,1.30074,0.01903,-0.12127
11,16,Page1 11,0.03595,0,1.09581,19.16402,0.0627
12,16,Page1 12,0.5261,0,0.21652,0.81432,0.39866
13,16,Page1 13,-0.14463,0,0.7903,0.18895,0.0879
14,16,Page1 14,-0.72166,0,-0.08358,-3.36475,-0.33405
15,16,Page1 15,0.12895,0,0.47432,-0.47336,0.28331
16,16,Page1 16,-0.25535,0,-0.2428,0.43441,-0.17815
17,16,Page1 17,0.20411,0,0.03014,-0.06163,
18,16,Page1 18,-0.24104,0,0.59048,0.58167,-0.18326
19,16,Page1 19,0.33079,0,0.31029,1.40764,0.08536
20,16,Page1 20,0.099,0,0.27278,0.44358,-0.13635
21,16,Page1 21,-0.54548,0,-0.24923,-1.21811,0.42858
22,16,Page1 22,0.25846,0,0.46221,1.49646,-0.43255
23,16,Page1 23,-0.53205,0,0.03124,-2.13984,0.06065
24,16,Page2 0,0.04167,1,1.29311,0.44627,-0.03724
25,16,Page2 1,-0.06686,1,0.16952,-1.00432,0.40219
26,16,Page2 2,-0.05047,0,0.26947,-1.31117,-0.22173
27,16,Page2 3,0.02995,0,0.66245,38.05112,0.53879
28,16,Page2 4,-0.18056,0,0.47829,-0.46657,-0.0264
29,16,Page2 5,-0.13484,0,0.41695,-0.66218,-0.09273
30,16,Page2 6,0.23976,0,0.15325,1.86359,0.18903
31,16,Page2 7,0.27,0,0.53605,0.38456,-0.14677
32,16,Page2 8,-0.46066,0,0.00049,-1.00337,-0.06832
33,16,Page2 9,0.02682,0,0.31631,-0.7203,0.01645
34,16,Page2 10,0.64177,0,0.29345,0.66278,0.16404
35,16,Page2 11,0.28587,0,0.38106,1.1269,-0.08334
36,16,Page2 12,-0.09741,0,0.35088,-0.45716,-0.29019
37,16,Page2 13,0.07127,1,0.64415,-0.63609,0.03943
38,16,Page2 14,-0.34772,0,0.02813,-1.49151,-0.39288
39,16,Page2 15,-0.06466,0,0.15748,0.04451,0.16706
40,16,Page2 16,-0.25268,0,0.19785,-1.65088,-0.14265
41,16,Page2 17,-0.23014,0,-0.07911,0.04169,-0.37956
42,16,Page2 18,-0.49708,0,0.06164,-4.42658,-0.88289
43,16,Page2 19,-0.14467,0,0.20722,-0.39927,-0.40369
44,16,Page2 20,-0.61986,0,-0.134,-1.9284,-0.05588
45,16,Page2 21,,0,,,
46,16,Page2 22,,0,,,
47,16,Page2 23,-0.07366,0,0.07262,-0.15097,-0.51365
48,16,Page3 0,-0.26475,0,-0.28812,-0.22656,-0.12384
49,16,Page3 1,-0.12018,0,0.78014,0.95465,-0.17526
50,16,Page3 2,-0.33285,1,0.2603,-2.0074,-0.37481
51,16,Page3 3,0.1142,0,1.29485,3.34857,0.33124
52,16,Page3 4,-0.07184,0,0.46795,1.34567,0.32604
53,16,Page3 5,-0.57869,0,-0.29507,-0.48547,-0.14496
54,16,Page3 6,-0.38321,1,0.29636,-1.82147,-0.11043
55,16,Page3 7,-0.18348,0,-0.53102,0.11903,-0.66587
56,16,Page3 8,-0.04822,0,0.23154,-1.53338,-0.24328
57,16,Page3 9,0.24985,0,0.9206,2.2718,0.17094
58,16,Page3 10,0.37203,0,0.58493,2.29791,0.49485
59,16,Page3 11,-0.35702,0,0.2046,-2.35463,-0.58103
60,16,Page3 12,-0.22681,0,0.43938,1.65362,-0.05096
61,16,Page3 13,0.62528,0,1.3825,1.84815,-0.85786
62,16,Page3 14,-0.91203,0,-0.29167,-0.76201,-0.4988
63,16,Page3 15,0.06365,0,0.40347,0.78142,0.02535
64,16,Page3 16,-0.13246,0,0.69992,-0.90016,-0.01939
65,16,Page3 17,0.85481,0,0.33928,2.50374,0.2005
66,16,Page3 18,-0.32716,0,-0.00784,-0.81046,-0.22544
67,16,Page3 19,-0.15796,0,0.54545,-0.97039,-0.12619
68,16,Page3 20,-0.14597,0,0.28128,0.29183,-0.62057
69,16,Page3 21,0.41866,1,0.31187,0.36617,-0.08291
70,16,Page3 22,-0.56481,0,-0.12677,-1.09901,0.38479
71,16,Page3 23,0.19299,0,0.3398,1.26294,-0.25425
72,16,Page4 0,0.14303,0,0.63744,-0.81867,0.03353
73,16,Page4 1,-0.04284,0,2.37485,2.75818,0.13557
74,16,Page4 2,0.54013,0,1.62356,2.57043,0.3367
75,16,Page4 3,0.90474,0,0.27392,5.47718,-0.72132
76,16,Page4 4,-0.09419,1,0.6241,-1.02668,-0.00322
77,16,Page4 5,-0.22329,0,0.09032,-1.12724,0.23332
78,16,Page4 6,-0.11761,0,0.17695,-1.34415,0.00085
79,16,Page4 7,-0.05705,0,0.03607,0.60029,-0.2752
80,16,Page4 8,0.25109,0,1.50655,4.47989,-0.48137
81,16,Page4 9,0.02795,0,0.59236,-0.81003,0.09145
82,16,Page4 10,0.13616,0,0.12118,-0.10862,0.3872
83,16,Page4 11,-0.79626,0,-0.00385,-7.35744,0.6195
84,16,Page4 12,-0.14386,0,0.11264,-0.5784,-0.73556
85,16,Page4 13,-0.71362,0,-0.08277,0.60427,-0.33689
86,16,Page4 14,-0.25971,0,0.00294,4.87392,-0.31639
87,16,Page4 15,0.07109,0,1.02734,-0.78125,-0.16786
88,16,Page4 16,-0.38268,0,0.40054,-2.79637,-0.39796
89,16,Page4 17,-0.29385,0,1.33522,-0.4073,-0.45042
90,16,Page4 18,-0.12333,0,-0.18349,-0.15635,-0.68522
91,16,Page4 19,-0.15984,0,0.08523,8.89014,-0.82047
92,16,Page4 20,0.29613,0,3.20885,5.76843,0.19315
93,16,Page4 21,-0.31276,0,0.46612,-4.29954,0.29576
94,16,Page4 22,-0.14871,0,0.40047,-3.53267,-0.20433
95,16,Page4 23,0.24127,0,0.79161,0.35226,0.09956
96,16,Page5 0,-0.20265,0,1.04735,-1.90396,0.02212
97,16,Page5 1,-0.01955,1,0.25702,0.41244,0.20512
98,16,Page5 2,-0.53779,1,0.00593,-2.80468,-0.27704
99,16,Page5 3,0.04107,1,0.46337,-0.14733,0.28834
100,16,Page5 4,-0.00169,0,0.62207,-0.41892,0.0039
101,16,Page5 5,0.28746,0,1.60307,6.96363,-0.11736
102,16,Page5 6,0.08863,1,0.75979,1.22373,-0.17789
